date,ticker,action,shares,price,amount,confidence
2022-02-23,NVDA,BUY,134.0,22.386999130249023,2999.857883453369,0.0006473315293083746
2022-02-24,NVDA,SELL,134.0,23.74799919128418,3182.23189163208,0.08050261148083568
2022-03-11,NVDA,BUY,138.0,22.100000381469727,3049.8000526428223,0.0020366183715653965
2022-03-14,NVDA,BUY,103.0,21.32999992370605,2196.989992141723,0.04976691280216969
2022-04-13,NVDA,SELL,241.0,22.202999114990234,5350.9227867126465,0.005144407668539347
2022-04-14,NVDA,BUY,151.0,21.257999420166016,3209.9579124450684,0.060744805301798946
2022-04-18,NVDA,SELL,151.0,21.78300094604492,3289.2331428527827,0.023147012286948664
2022-04-20,NVDA,BUY,148.0,21.48200035095215,3179.336051940918,0.037968505510375034
2022-05-19,AAPL,BUY,15.0,137.35000610351562,2060.2500915527344,0.0010305578540971906
2022-05-23,AAPL,SELL,15.0,143.11000061035156,2146.6500091552734,0.11918889823238295
2022-06-10,AAPL,BUY,15.0,137.1300048828125,2056.9500732421875,0.0021588583569055668
2022-06-13,AAPL,BUY,12.0,131.8800048828125,1582.56005859375,0.10757116394818782
2022-06-13,MSFT,BUY,4.0,242.25999450683597,969.0399780273439,0.026805080741183877
2022-06-14,MSFT,SELL,4.0,244.4900054931641,977.9600219726564,0.05422010947606635
2022-06-15,AAPL,SELL,27.0,135.42999267578125,3656.6098022460938,0.021828431192552535
2022-06-16,AAPL,BUY,18.0,130.05999755859375,2341.0799560546875,0.1311355339006799
2022-06-21,AAPL,SELL,18.0,135.8699951171875,2445.659912109375,0.000767826267266784
2022-06-28,AAPL,BUY,16.0,137.44000244140625,2199.0400390625,0.02625964845998773
2022-06-29,AAPL,SELL,16.0,139.22999572753906,2227.679931640625,0.059591437194288145
2022-06-30,AAPL,BUY,16.0,136.72000122070312,2187.52001953125,0.009503071774174122
2022-07-05,AAPL,SELL,16.0,141.55999755859375,2264.9599609375,0.10250049452409239
2022-09-20,MSFT,BUY,9.0,242.4499969482422,2182.0499725341797,0.04831498217080935
2022-09-30,AAPL,BUY,11.0,138.1999969482422,1520.199966430664,0.01074376509114007
2022-10-03,AAPL,SELL,11.0,142.4499969482422,1566.949966430664,0.0968516487738531
2022-10-04,MSFT,SELL,9.0,248.8800048828125,2239.9200439453125,0.12641257204016165
2022-10-07,MSFT,BUY,9.0,234.2400054931641,2108.160049438477,0.025235822070224536
2022-10-10,MSFT,BUY,7.0,229.25,1604.75,0.07896580843973439
2022-10-11,AAPL,BUY,8.0,138.97999572753906,1111.8399658203125,0.04147404318557287
2022-10-13,AAPL,SELL,8.0,142.99000549316406,1143.9200439453125,0.12137940756575552
2022-10-13,MSFT,SELL,16.0,234.2400054931641,3747.8400878906255,0.015341145901898535
2022-10-14,AAPL,BUY,17.0,138.3800048828125,2352.4600830078125,0.035190253427414935
2022-10-14,MSFT,BUY,7.0,228.55999755859372,1599.919982910156,0.074850408008269
2022-10-17,AAPL,SELL,17.0,142.41000366210938,2420.9700622558594,0.11259390663156378
2022-10-17,MSFT,SELL,7.0,237.52999877929688,1662.7099914550781,0.022312932371386165
2022-10-26,GOOGL,BUY,25.0,94.93000030517578,2373.2500076293945,0.03146053125204415
2022-10-28,GOOGL,SELL,25.0,96.29000091552734,2407.2500228881836,0.06837492491865413
2022-10-31,GOOGL,BUY,25.0,94.51000213623048,2362.750053405762,0.02855475563873415
2022-11-01,MSFT,BUY,7.0,228.1699981689453,1597.1899871826172,0.08278004041896456
2022-11-01,GOOGL,BUY,13.0,90.47000122070312,1176.1100158691406,0.0718098301457686
2022-11-03,AAPL,BUY,5.0,138.8800048828125,694.4000244140625,0.025563588519683145
2022-11-10,AAPL,SELL,5.0,146.8699951171875,734.3499755859375,0.19144959076591517
2022-11-10,GOOGL,SELL,38.0,93.94000244140624,3569.720092773437,0.042821571374472886
2022-11-29,MSFT,BUY,8.0,240.3300018310547,1922.6400146484375,0.03621583745727185
2022-11-30,MSFT,SELL,15.0,255.13999938964844,3827.0999908447266,0.17718814244234946
2022-12-07,GOOGL,BUY,26.0,94.94000244140624,2468.440063476562,0.037380541925239284
2022-12-13,GOOGL,SELL,26.0,95.62999725341795,2486.3799285888667,0.06324112036753178
2022-12-15,AAPL,BUY,18.0,136.5,2457.0,0.007592943866548914
2022-12-19,AAPL,BUY,13.0,132.3699951171875,1720.8099365234375,0.08750058769416331
2022-12-19,MSFT,BUY,5.0,240.4499969482422,1202.249984741211,0.029070974757021834
