date,ticker,action,shares,price,amount,confidence
2022-10-28,AAPL,SELL,9.0,155.74000549316406,1401.6600494384766,0.00023104928965709732
2022-10-31,AAPL,BUY,5.0,153.33999633789062,766.6999816894531,0.049767677495703884
2022-10-31,MSFT,BUY,2.0,232.1300048828125,464.260009765625,0.0065528771333856805
2022-11-01,MSFT,BUY,2.0,228.1699981689453,456.3399963378906,0.04450394526910273
2022-12-28,MSFT,BUY,1.0,234.52999877929688,234.52999877929688,0.014213783604079584
2022-12-29,MSFT,SELL,14.0,241.00999450683597,3374.1399230957036,0.07322712150627339
2023-01-19,MSFT,BUY,5.0,231.92999267578125,1159.6499633789062,0.007633468383453346
2023-01-20,MSFT,SELL,5.0,240.22000122070312,1201.1000061035156,0.06832593165797064
2023-02-03,AAPL,SELL,5.0,154.5,772.5,0.02428545495222714
2023-02-06,AAPL,BUY,10.0,151.72999572753906,1517.2999572753906,0.08279554149496103
2023-02-07,AAPL,SELL,10.0,154.64999389648438,1546.4999389648438,0.02286940457988337
2023-02-08,AAPL,BUY,10.0,151.9199981689453,1519.1999816894531,0.08011216906830645
2023-02-15,AAPL,SELL,10.0,155.3300018310547,1553.3000183105469,0.010431072793610786
2023-02-16,AAPL,BUY,10.0,153.7100067138672,1537.1000671386719,0.043797087067829414
2023-03-16,AAPL,SELL,10.0,155.85000610351562,1558.5000610351562,0.000407308284878404
2023-05-11,GOOGL,SELL,21.0,116.56999969482422,2447.9699935913086,0.027748098002211057
2023-05-15,GOOGL,BUY,20.0,116.51000213623048,2330.20004272461,0.020676141243064508
2023-05-16,GOOGL,SELL,20.0,119.51000213623048,2390.20004272461,0.09331483783222756
2023-07-10,GOOGL,BUY,19.0,116.4499969482422,2212.549942016602,0.003324282148143718
2023-07-12,GOOGL,SELL,19.0,118.93000030517578,2259.67000579834,0.06767772143553144
