Date,Adj Close_MSFT,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT
2022-01-03,323.8983459472656,334.75,338.0,329.7799987792969,335.3500061035156,28865100
2022-01-04,318.3444519042969,329.010009765625,335.20001220703125,326.1199951171875,334.8299865722656,32674300
2022-01-05,306.1239013671875,316.3800048828125,326.07000732421875,315.9800109863281,325.8599853515625,40054300
2022-01-06,303.7049255371094,313.8800048828125,318.70001220703125,311.489990234375,313.1499938964844,39646100
2022-01-07,303.8597412109375,314.0400085449219,316.5,310.0899963378906,314.1499938964844,32720000
2022-01-10,304.08221435546875,314.2699890136719,314.7200012207031,304.69000244140625,309.489990234375,44289500
2022-01-11,304.76922607421875,314.9800109863281,316.6099853515625,309.8900146484375,313.3800048828125,29386800
2022-01-12,307.9526062011719,318.2699890136719,323.4100036621094,317.0799865722656,319.6700134277344,34372200
2022-01-13,294.9193115234375,304.79998779296875,320.8800048828125,304.0,320.4700012207031,45366000
2022-01-14,300.1443176269531,310.20001220703125,310.82000732421875,303.75,304.25,39846400
2022-01-18,292.8389587402344,302.6499938964844,309.79998779296875,301.739990234375,304.07000732421875,42333200
2022-01-19,293.4969482421875,303.3299865722656,313.9100036621094,302.70001220703125,306.2900085449219,45933900
2022-01-20,291.8230285644531,301.6000061035156,311.6499938964844,301.1400146484375,309.07000732421875,35380700
2022-01-21,286.4334716796875,296.0299987792969,304.1099853515625,295.6099853515625,302.69000244140625,57984400
2022-01-24,286.76251220703125,296.3699951171875,297.1099853515625,276.04998779296875,292.20001220703125,85731500
2022-01-25,279.13800048828125,288.489990234375,294.989990234375,285.1700134277344,291.5199890136719,72848600
2022-01-26,287.0915222167969,296.7099914550781,308.5,293.0299987792969,307.989990234375,90428900
2022-01-27,290.12005615234375,299.8399963378906,307.29998779296875,297.92999267578125,302.6600036621094,53481300
2022-01-28,298.2671203613281,308.260009765625,308.4800109863281,294.45001220703125,300.2300109863281,49743700
2022-01-31,300.8989562988281,310.9800109863281,312.3800048828125,306.3699951171875,308.95001220703125,46444500
2022-02-01,298.7509765625,308.760009765625,310.6300048828125,305.1300048828125,310.4100036621094,40950400
2022-02-02,303.2985534667969,313.4599914550781,315.1199951171875,308.8800048828125,309.6300048828125,36636000
2022-02-03,291.4842834472656,301.25,311.2300109863281,299.9599914550781,309.489990234375,43730000
2022-02-04,296.0223693847656,305.94000244140625,308.79998779296875,299.9700012207031,300.2099914550781,35096500
2022-02-07,291.194091796875,300.95001220703125,307.8399963378906,299.8999938964844,306.1700134277344,28533300
2022-02-08,294.68707275390625,304.55999755859375,305.55999755859375,299.95001220703125,301.25,32421200
2022-02-09,301.1214599609375,311.2099914550781,311.92999267578125,307.3900146484375,309.8699951171875,31284700
2022-02-10,292.5777587890625,302.3800048828125,309.1199951171875,300.70001220703125,304.0400085449219,45386200
2022-02-11,285.4756774902344,295.0400085449219,304.2900085449219,294.2200012207031,303.19000244140625,39175600
2022-02-14,285.43695068359375,295.0,296.760009765625,291.3500061035156,293.7699890136719,36359500
2022-02-15,290.7296447753906,300.4700012207031,300.79998779296875,297.0199890136719,300.010009765625,27058300
2022-02-16,290.39031982421875,299.5,300.8699951171875,293.67999267578125,298.3699951171875,29982100
2022-02-17,281.8869934082031,290.7300109863281,296.79998779296875,290.0,296.3599853515625,32461600
2022-02-18,279.1721496582031,287.92999267578125,293.8599853515625,286.30999755859375,293.04998779296875,34264000
2022-02-22,278.96868896484375,287.7200012207031,291.5400085449219,284.5,285.0,41736100
2022-02-23,271.7452697753906,280.2699890136719,291.70001220703125,280.1000061035156,290.17999267578125,37811200
2022-02-24,285.62957763671875,294.5899963378906,295.1600036621094,271.5199890136719,272.510009765625,56989700
2022-02-25,288.2669372558594,297.30999755859375,297.6300048828125,291.6499938964844,295.1400146484375,32546700
2022-02-28,289.7019348144531,298.7900085449219,299.1400146484375,293.0,294.30999755859375,34627500
2022-03-01,285.97869873046875,294.95001220703125,299.9700012207031,292.1499938964844,296.3999938964844,31217800
2022-03-02,291.0593566894531,300.19000244140625,301.4700012207031,293.70001220703125,295.3599853515625,31873000
2022-03-03,286.919189453125,295.9200134277344,303.1300048828125,294.04998779296875,302.8900146484375,27314500
2022-03-04,281.0434875488281,289.8599853515625,295.6600036621094,287.1700134277344,294.2900085449219,32356500
