Date,Adj Close_GOOGL,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL
2022-01-03,143.9042205810547,144.9915008544922,145.8509979248047,143.71299743652344,145.05499267578125,28646000
2022-01-04,143.31663513183594,144.39950561523438,146.48500061035156,143.7165069580078,145.39599609375,28400000
2022-01-05,136.74180603027344,137.77499389648438,144.49949645996094,137.68800354003906,144.4199981689453,54618000
2022-01-06,136.71450805664062,137.74749755859375,139.94000244140625,136.55850219726562,136.99850463867188,37348000
2022-01-07,135.989501953125,137.01699829101562,138.44850158691406,135.76649475097656,138.14549255371094,29760000
2022-01-10,137.62960815429688,138.66949462890625,138.8195037841797,133.1645050048828,135.0780029296875,44408000
2022-01-11,138.6881103515625,139.73599243164062,140.21600341796875,136.6925048828125,138.0070037841797,28730000
2022-01-12,140.36990356445312,141.4304962158203,142.60800170898438,140.6945037841797,141.14999389648438,26108000
2022-01-13,137.54774475097656,138.58700561523438,142.85000610351562,138.40899658203125,141.5399932861328,31436000
2022-01-14,138.43450927734375,139.48049926757812,140.74200439453125,136.99850463867188,137.07899475097656,29662000
2022-01-18,134.97813415527344,135.9980010986328,137.13150024414062,135.43850708007812,136.1750030517578,34872000
2022-01-19,134.103271484375,135.1165008544922,137.95950317382812,135.0155029296875,136.52349853515625,28648000
2022-01-20,132.30783081054688,133.3074951171875,137.62600708007812,132.96449279785156,136.25,29908000
2022-01-21,129.37399291992188,130.35150146484375,134.86549377441406,130.0865020751953,132.593505859375,55652000
2022-01-24,129.82308959960938,130.8040008544922,131.2030029296875,124.5,125.97799682617188,76622000
2022-01-25,125.98310852050781,126.93499755859375,129.3990020751953,126.50050354003906,128.74000549316406,46960000
2022-01-26,128.2638702392578,129.23300170898438,133.0,127.14199829101562,131.11900329589844,49130000
2022-01-27,128.03758239746094,129.0050048828125,132.65249633789062,128.9324951171875,131.3040008544922,31950000
2022-01-28,132.3509979248047,133.3509979248047,133.35650634765625,128.48500061035156,129.65899658203125,34362000
2022-01-31,134.28884887695312,135.30349731445312,135.47300720214844,132.20950317382812,134.16200256347656,39986000
2022-02-01,136.61181640625,137.6439971923828,137.79299926757812,134.36849975585938,137.59449768066406,68644000
2022-02-02,146.89013671875,148.0,151.54649353027344,145.5225067138672,151.25,123200000
2022-02-03,142.01695251464844,143.08999633789062,149.6750030517578,142.66549682617188,145.70550537109375,71518000
2022-02-04,142.2184295654297,143.29299926757812,144.875,140.51499938964844,143.4445037841797,57998000
2022-02-07,138.1571044921875,139.2010040283203,144.25,138.89999389648438,144.25,54974000
2022-02-08,138.3536376953125,139.3990020751953,140.0,137.01400756835938,139.02650451660156,54284000
2022-02-09,140.53018188476562,141.5919952392578,142.52450561523438,140.18699645996094,140.9635009765625,40144000
2022-02-10,137.58047485351562,138.6199951171875,141.4844970703125,137.95700073242188,139.70350646972656,39330000
2022-02-11,133.2755126953125,134.28250122070312,139.156494140625,133.39999389648438,138.60000610351562,39958000
2022-02-14,134.50967407226562,135.5260009765625,136.3000030517578,133.25650024414062,133.25650024414062,34302000
2022-02-15,135.5840606689453,136.60850524902344,138.10850524902344,135.82150268554688,137.57049560546875,26680000
2022-02-16,136.70510864257812,137.73800659179688,138.08599853515625,134.9239959716797,136.64649963378906,25022000
2022-02-17,131.54507446289062,132.53900146484375,137.11349487304688,132.47850036621094,136.2429962158203,38950000
2022-02-18,129.4250946044922,130.4029998779297,134.07000732421875,130.19650268554688,133.4669952392578,45620000
2022-02-22,128.8400421142578,129.81350708007812,132.1804962158203,128.22349548339844,129.83799743652344,44990000
2022-02-23,126.63119506835938,127.58799743652344,132.05099487304688,127.52749633789062,131.64849853515625,32786000
2022-02-24,131.69593811035156,132.6909942626953,133.0,124.95349884033203,124.95349884033203,54456000
2022-02-25,133.45118713378906,134.45950317382812,135.27149963378906,131.75149536132812,133.552001953125,36406000
2022-02-28,134.04421997070312,135.0570068359375,135.75149536132812,132.59249877929688,133.0500030517578,38864000
2022-03-01,133.05615234375,134.06149291992188,136.2554931640625,133.218505859375,134.8784942626953,26496000
2022-03-02,133.56234741210938,134.57150268554688,135.2624969482422,133.07150268554688,134.6280059814453,23520000
2022-03-03,132.89537048339844,133.89950561523438,136.4394989013672,133.02549743652344,136.00999450683594,24604000
2022-03-04,130.91729736328125,131.906494140625,133.85150146484375,130.33749389648438,132.92750549316406,30430000
2022-03-07,125.43077850341797,126.37850189208984,131.73500061035156,126.29499816894531,131.48800659179688,45112000
2022-03-08,126.15133666992188,127.10449981689453,131.25,125.67449951171875,126.25,40428000
2022-03-09,132.4194793701172,133.4199981689453,133.73550415039062,129.90049743652344,131.25,37026000
2022-03-10,131.43641662597656,132.42950439453125,133.27200317382812,130.91250610351562,131.26600646972656,27102000
2022-03-11,128.8966064453125,129.87049865722656,133.79550170898438,129.63150024414062,133.48849487304688,31526000
2022-03-14,125.00648498535156,125.95099639892578,130.40899658203125,125.2750015258789,130.25,38812000
