date,ticker,action,shares,price,amount,fee,confidence,reason
2022-08-03,AAPL,BUY,21.0,166.1300048828125,3488.7301025390625,1.7443650512695312,0.5,SIGNAL
2022-09-15,AAPL,SELL,21.0,152.3699951171875,3199.7698974609375,1.5998849487304687,,STOP_LOSS
2023-02-07,AAPL,BUY,21.0,154.64999389648438,3247.649871826172,1.623824935913086,0.5,SIGNAL
2023-06-12,AAPL,SELL,21.0,183.7899932861328,3859.589859008789,1.9297949295043946,,TAKE_PROFIT
2023-11-16,AAPL,BUY,19.0,189.7100067138672,3604.4901275634766,1.8022450637817382,0.5,SIGNAL
2024-02-27,AAPL,SELL,19.0,182.6300048828125,3469.9700927734375,1.7349850463867187,0.5,SIGNAL
2024-05-16,AAPL,BUY,18.0,189.83999633789062,3417.1199340820312,1.7085599670410156,0.5,SIGNAL
2024-07-05,AAPL,SELL,18.0,226.33999633789062,4074.1199340820312,2.037059967041016,,TAKE_PROFIT
